['2018-07-14 09:15:30.427594', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 09:24:22.958343', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 09:33:28.435560', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 09:42:14.306033', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 09:50:53.174610', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 09:59:57.018875', {'R': [18, 19, 27, 28, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 10:08:39.996244', {'R': [18, 19, 27, 28, 29, 30, 31, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 84, 85, 86, 87], 'U': []}]
['2018-07-14 10:17:32.219674', {'R': [18, 19, 27, 28, 29, 30, 31, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 71, 72, 73, 74, 84, 85, 86, 87], 'U': []}]
['2018-07-14 10:26:29.181310', {'R': [18, 19, 27, 28, 29, 30, 31, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 71, 72, 73, 74, 84, 85, 86, 87], 'U': []}]
['2018-07-14 10:35:36.944127', {'R': [18, 19, 27, 28, 29, 30, 31, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 67, 68, 71, 72, 73, 74, 84, 85, 86, 87], 'U': []}]
